question,intent,entity,answer
Tràn dịch khớp,Điều trị,joint effusion,"nghỉ ngơi, chườm lạnh, thuốc chống viêm NSAIDs (diclofenac, meloxicam), dẫn lưu dịch nếu nhiều, điều trị nguyên nhân nền nếu có;"
Tràn dịch khớp,Nguyên nhân,joint effusion,"chấn thương khớp, viêm khớp (viêm khớp dạng thấp, gout), thoái hóa khớp, nhiễm trùng khớp."
Thoái hóa cột sống,Triệu chứng,Spondylosis,"đau âm ỉ vùng cổ hoặc thắt lưng, cứng khớp buổi sáng, hạn chế vận động, có thể tê lan nếu chèn ép thần kinh;"
Thoái hóa cột sống,Điều trị,Spondylosis,"vật lý trị liệu, luyện tập phục hồi, thuốc giảm đau NSAIDs (celecoxib, etoricoxib), giãn cơ (tolperisone), tiêm corticoid khi nặng;"
Thoái hóa cột sống,Nguyên nhân,Spondylosis,"thoái hóa đĩa đệm và khớp liên mấu do tuổi tác, lao động nặng, tư thế sai kéo dài, di truyền."
Viêm đa cơ,Triệu chứng,Polymyositis,"yếu cơ đối xứng hai bên, đặc biệt ở cơ gốc chi (vai, hông), khó leo cầu thang, đứng dậy, nuốt khó, mệt mỏi toàn thân;"
Viêm đa cơ,Điều trị,Polymyositis,"corticosteroids (prednisolone), thuốc ức chế miễn dịch (methotrexate, azathioprine), vật lý trị liệu phục hồi chức năng;"
Viêm đa cơ,Nguyên nhân,Polymyositis,"rối loạn tự miễn, cơ thể tấn công nhầm vào mô cơ, có thể liên quan đến nhiễm virus, yếu tố di truyền hoặc ung thư nền."
Cong vẹo cột sống,Triệu chứng,scoliosis,"vai và hông không đều nhau, cột sống không thẳng khi nhìn từ sau gáy, một bên lưng cao hơn bên còn lại khi cúi xuống."
Cong vẹo cột sống,Điều trị,scoliosis,"theo dõi định kỳ nếu nhẹ, mang đai chỉnh hình (brace), vật lý trị liệu, phẫu thuật nắn và cố định cột sống nếu cong vẹo tiến triển nặng;"
Cong vẹo cột sống,Nguyên nhân,scoliosis,"do bệnh lý (bại não, loạn dưỡng cơ, …), chấn thương, nhiễm trùng, phẫu thuật ở thành ngực trong thời thơ ấu hoặc ngồi sai tư thế trong suốt một thời gian dài, …"
Hội chứng ống cổ tay,Triệu chứng,carpal tunnel syndrome,"tê, châm chích, đau ở ngón cái, ngón trỏ, ngón giữa và nửa ngón áp út, đau tăng về đêm, yếu cơ ngón cái, có thể làm rối động tác khi cầm nắm;"
Hội chứng ống cổ tay,Điều trị,carpal tunnel syndrome,"nẹp cổ tay về đêm, vật lý trị liệu, thuốc giảm đau NSAIDs (ibuprofen), tiêm corticoid tại chỗ, phẫu thuật giải áp nếu nặng hoặc không đáp ứng điều trị bảo tồn;"
Hội chứng ống cổ tay,Nguyên nhân,carpal tunnel syndrome,"do sự sưng, viêm của các mô xung quanh dây thần kinh giữa, xảy ra dưới sự tác động của chấn thương hoặc các hoạt động lặp đi lặp lại ở cổ tay, như gõ phím hoặc sử dụng chuột máy tính."
Mạch Vành,Triệu chứng,Coronary Artery Disease,"Đau thắt ngực, khó thở, mệt mỏi"
Mạch Vành,Điều trị,Coronary Artery Disease,"thuốc chống kết tập tiểu cầu (aspirin, clopidogrel), chẹn beta (bisoprolol), statin (atorvastatin), nitrate (nitroglycerin), can thiệp mạch vành (đặt stent) hoặc phẫu thuật bắc cầu;"
Mạch Vành,Nguyên nhân,Coronary Artery Disease,"Xơ vữa động mạch, huyết áp cao, tiểu đường, hút thuốc lá"
Tăng Huyết Áp,Triệu chứng,Hypertension,"Đau đầu, chóng mặt, chảy máu cam"
Tăng Huyết Áp,Điều trị,Hypertension,"thay đổi lối sống (giảm muối, giảm cân, tập thể dục), thuốc hạ áp như ức chế men chuyển (enalapril), chẹn beta (bisoprolol), lợi tiểu (hydrochlorothiazide), chẹn kênh canxi (amlodipine);"
Tăng Huyết Áp,Nguyên nhân,Hypertension,"Di truyền, béo phì, ăn mặn, ít vận động, căng thẳng"
Suy Tim,Triệu chứng,Heart Failure,"Khó thở, mệt mỏi, phù chân"
Suy Tim,Điều trị,Heart Failure,"thuốc lợi tiểu (furosemide), ức chế men chuyển (enalapril), chẹn beta (bisoprolol, carvedilol), đối kháng aldosterone (spironolactone), digoxin, thay đổi lối sống, ghép tim nếu suy giai đoạn cuối;"
Suy Tim,Nguyên nhân,Heart Failure,"Bệnh mạch vành, tăng huyết áp, bệnh van tim, nhồi máu cơ tim"
Van Tim,Triệu chứng,Valvular Heart Disease,"Khó thở, đau ngực, mệt mỏi, sưng chân"
Van Tim,Điều trị,Valvular Heart Disease,"thuốc hỗ trợ (lợi tiểu, chẹn beta, ACEI), kháng đông nếu có rung nhĩ (warfarin), can thiệp sửa van hoặc thay van tim (van cơ học hoặc van sinh học);"
Van Tim,Nguyên nhân,Valvular Heart Disease,"Sốt thấp khớp, viêm nội tâm mạc, thoái hóa van tim"
Đột quỵ,Triệu chứng,Cerebrovascular Accident,"Đột ngột yếu một bên cơ thể, khó nói, méo mặt, đau đầu dữ dội"
Đột quỵ,Điều trị,Cerebrovascular Accident,"đột quỵ thiếu máu dùng thuốc tiêu huyết khối (rtPA) trong giờ vàng, chống kết tập tiểu cầu (aspirin, clopidogrel), kiểm soát huyết áp, phẫu thuật nếu xuất huyết; phục hồi chức năng sau đột quỵ;"
Đột quỵ,Nguyên nhân,Cerebrovascular Accident,"Tăng huyết áp, bệnh tim, tiểu đường, hút thuốc lá"
Rối Loạn Nhịp Tim,Triệu chứng,Cardiac Arrhythmia,"Chóng mặt, ngất xỉu, đau ngực, khó thở"
Rối Loạn Nhịp Tim,Điều trị,Cardiac Arrhythmia,"tùy loại loạn nhịp – dùng thuốc chống loạn nhịp (amiodarone, flecainide), chẹn beta (bisoprolol), cấy máy tạo nhịp (pacemaker) hoặc sốc điện chuyển nhịp (cardioversion), ablation triệt đốt ổ loạn nhịp;"
Rối Loạn Nhịp Tim,Nguyên nhân,Cardiac Arrhythmia,"Bệnh tim, rối loạn điện giải, sử dụng thuốc"
Nhồi máu cơ tim,Triệu chứng,Myocardial Infarction,"đau ngực dữ dội kéo dài >20 phút, lan lên hàm, vai trái, kèm vã mồ hôi lạnh, khó thở, buồn nôn, loạn nhịp, có thể ngất;"
Nhồi máu cơ tim,Điều trị,Myocardial Infarction,"thuốc tiêu huyết khối (alteplase), chống kết tập tiểu cầu (aspirin, clopidogrel), nitrate, chẹn beta (bisoprolol), statin, can thiệp đặt stent hoặc phẫu thuật bắc cầu mạch vành;"
Nhồi máu cơ tim,Nguyên nhân,Myocardial Infarction,"tắc nghẽn động mạch vành do mảng xơ vữa và cục máu đông, thường trên nền tăng huyết áp, đái tháo đường, hút thuốc, rối loạn lipid."
Hở van tim,Triệu chứng,Valvular Regurgitation,"khó thở khi gắng sức, mệt mỏi, hồi hộp, phù chân, đau ngực, nghe thấy tiếng thổi tâm thu hoặc trương trong tim, nặng có thể gây suy tim;"
Hở van tim,Điều trị,Valvular Regurgitation,"thuốc hỗ trợ (lợi tiểu, ACEI, chẹn beta), kháng đông nếu rung nhĩ, phẫu thuật sửa hoặc thay van nếu hở nặng;"
Hở van tim,Nguyên nhân,Valvular Regurgitation,"thấp tim, thoái hóa van, viêm nội tâm mạc nhiễm khuẩn, giãn vòng van, bệnh mô liên kết (Marfan), nhồi máu cơ tim gây tổn thương van."
Bệnh động mạch ngoại biên,Triệu chứng,Peripheral Artery Disease,"đau cách hồi (đau bắp chân khi đi, đỡ khi nghỉ), lạnh chân, da nhợt nhạt hoặc tím tái, loét lâu lành ở chi dưới, mạch yếu hoặc mất mạch ngoại vi;"
Bệnh động mạch ngoại biên,Điều trị,Peripheral Artery Disease,"thay đổi lối sống, statin, aspirin hoặc clopidogrel, kiểm soát bệnh nền, can thiệp nong mạch, đặt stent hoặc phẫu thuật bắc cầu động mạch;"
Bệnh động mạch ngoại biên,Nguyên nhân,Peripheral Artery Disease,"xơ vữa động mạch ngoại vi, hút thuốc, đái tháo đường, tăng huyết áp, rối loạn lipid máu."
Tai biến mạch máu não (do tắc mạch máu não),Triệu chứng,Ischemic Stroke,"liệt nửa người, méo miệng, nói khó, mất cảm giác, mờ mắt, lú lẫn, mất thăng bằng, đột ngột và khu trú;"
Tai biến mạch máu não (do tắc mạch máu não),Điều trị,Ischemic Stroke,"thuốc tiêu huyết khối (rtPA) nếu trong khung giờ vàng, chống kết tập tiểu cầu (aspirin), statin, kiểm soát huyết áp – đường huyết, phục hồi chức năng sớm;"
Tai biến mạch máu não (do tắc mạch máu não),Nguyên nhân,Ischemic Stroke,"tắc mạch máu não do cục máu đông từ tim (rung nhĩ), xơ vữa động mạch cảnh, tăng đông máu, tăng huyết áp, tiểu đường."
Xơ vữa động mạch,Triệu chứng,Atherosclerosis,"giai đoạn đầu thường không có triệu chứng, về sau gây đau ngực, đau cách hồi, nhồi máu cơ tim, đột quỵ tùy vị trí tổn thương;"
Xơ vữa động mạch,Điều trị,Atherosclerosis,"statin (atorvastatin, rosuvastatin), aspirin liều thấp, kiểm soát yếu tố nguy cơ, thay đổi lối sống, phẫu thuật đặt stent nếu hẹp nặng;"
Xơ vữa động mạch,Nguyên nhân,Atherosclerosis,"tích tụ mảng lipid và xơ hóa trong thành mạch do tăng cholesterol, hút thuốc, tăng huyết áp, đái tháo đường, ít vận động."
Thiếu máu cơ tim cục bộ,Triệu chứng,Myocardial Ischemia,"đau thắt ngực khi gắng sức, khó thở, hồi hộp, mệt, cơn đau ngực thoáng qua rồi tự hết khi nghỉ;"
Thiếu máu cơ tim cục bộ,Điều trị,Myocardial Ischemia,"nitrate (nitroglycerin), chẹn beta (metoprolol), statin, aspirin, can thiệp đặt stent nếu hẹp nặng, thay đổi lối sống;"
Thiếu máu cơ tim cục bộ,Nguyên nhân,Myocardial Ischemia,"hẹp hoặc tắc nghẽn động mạch vành do xơ vữa, co thắt mạch vành, tăng nhu cầu oxy cơ tim (gắng sức, stress)."
Viêm cơ tim,Triệu chứng,Myocarditis,"đau ngực, khó thở, mệt mỏi, đánh trống ngực, có thể suy tim cấp hoặc loạn nhịp, đôi khi giống nhồi máu cơ tim nhưng mạch vành bình thường;"
Viêm cơ tim,Điều trị,Myocarditis,"nghỉ ngơi tuyệt đối, thuốc chống viêm (NSAIDs, corticosteroids nếu tự miễn), điều trị suy tim nếu có (ACEI, beta-blocker, lợi tiểu), theo dõi biến chứng;"
Viêm cơ tim,Nguyên nhân,Myocarditis,"nhiễm virus (Coxsackie B, adenovirus), vi khuẩn, ký sinh trùng, bệnh tự miễn (lupus), thuốc độc tim hoặc chất độc."
Addison,Triệu chứng,Addison's Disease,"Mệt mỏi, giảm cân, hạ huyết áp, buồn nôn, rối loạn điện giải"
Addison,Điều trị,Addison's Disease,Thay thế glucocorticoid và mineralocorticoid
Addison,Nguyên nhân,Addison's Disease,"Phản ứng tự miễn, nhiễm trùng, tổn thương tuyến thượng thận"
Block nhĩ thất,Triệu chứng,Atrioventricular Block (AV Block),Nhịp tim chậm; mệt mỏi; chóng mặt; đôi khi ngất
Block nhĩ thất,Điều trị,Atrioventricular Block (AV Block),Theo dõi; cấy máy tạo nhịp tim (pacemaker) nếu cần
Block nhĩ thất,Nguyên nhân,Atrioventricular Block (AV Block),Tổn thương hệ thống dẫn truyền điện; bệnh tim; tác dụng phụ của thuốc
Bướu giáp nhân,Triệu chứng,Multinodular Goiter,"Sưng cổ với nhiều nốt u, cảm giác khó chịu ở vùng cổ, có thể gây khó nuốt"
Bướu giáp nhân,Điều trị,Multinodular Goiter,"Thuốc điều chỉnh hormone, theo dõi, phẫu thuật nếu tăng kích thước hoặc có dấu hiệu ác tính"
Bướu giáp nhân,Nguyên nhân,Multinodular Goiter,"Thiếu iodine mạn tính, yếu tố di truyền, lão hóa"
Bướu giáp đơn thuần,Triệu chứng,Simple (Diffuse) Goiter,"Sưng cổ, cảm giác nặng ở vùng cổ, có thể gặp khó nuốt hoặc thở"
Bướu giáp đơn thuần,Điều trị,Simple (Diffuse) Goiter,"Bổ sung iod, theo dõi lâm sàng, phẫu thuật nếu cần"
Bướu giáp đơn thuần,Nguyên nhân,Simple (Diffuse) Goiter,"Thiếu iodine kéo dài, rối loạn nội tiết tuyến giáp"
Bạch biến,Triệu chứng,Vitiligo,"Xuất hiện các mảng da trắng không sắc tố, thường không kèm đau hay ngứa"
Bạch biến,Điều trị,Vitiligo,"Kem bôi, liệu pháp ánh sáng, cấy tế bào melanocyte, thuốc ức chế miễn dịch"
Bạch biến,Nguyên nhân,Vitiligo,"Phá hủy tế bào sắc tố do phản ứng tự miễn, yếu tố di truyền và stress"
Bệnh lùn tuyến yên,Triệu chứng,Growth Hormone Deficiency,"Chậm phát triển ở trẻ, giảm khối lượng cơ, mệt mỏi, tăng mỡ cơ thể"
Bệnh lùn tuyến yên,Điều trị,Growth Hormone Deficiency,Liệu pháp hormone tăng trưởng
Bệnh lùn tuyến yên,Nguyên nhân,Growth Hormone Deficiency,"Tổn thương tuyến yên do u, chấn thương, yếu tố di truyền"
Bệnh to đầu chi,Triệu chứng,Acromegaly,"Phát triển quá mức của mặt, tay, chân; to nội tạng; đau khớp, mệt mỏi"
Bệnh to đầu chi,Điều trị,Acromegaly,"Phẫu thuật loại bỏ u tuyến yên, dùng thuốc ức chế hormone tăng trưởng (octreotide, lanreotide), xạ trị"
Bệnh to đầu chi,Nguyên nhân,Acromegaly,Tăng sản hormone tăng trưởng do u tuyến yên; yếu tố di truyền có thể góp phần
Bệnh to đầu chi (Acromegaly),Triệu chứng,Acromegaly,"Phát triển quá mức của mặt, tay, chân; to nội tạng; đau khớp, mệt mỏi"
Bệnh to đầu chi (Acromegaly),Điều trị,Acromegaly,"Phẫu thuật cắt bỏ u tuyến yên, thuốc ức chế hormone tăng trưởng, xạ trị"
Bệnh to đầu chi (Acromegaly),Nguyên nhân,Acromegaly,"Tăng sản hormone tăng trưởng do u tuyến yên, có thể có yếu tố di truyền"
Chlamydia,Triệu chứng,Chlamydia trachomatis infection,"Thường không có triệu chứng rõ ràng; nếu có: tiết dịch âm đạo bất thường, đau rát khi tiểu tiện"
Chlamydia,Điều trị,Chlamydia trachomatis infection,Điều trị bằng azithromycin hoặc doxycycline
Chlamydia,Nguyên nhân,Chlamydia trachomatis infection,Nhiễm vi khuẩn Chlamydia qua giao hợp không an toàn
Chốc lở,Triệu chứng,Impetigo contagiosa,"Xuất hiện mụn nước, mủ vàng, vết loét nhỏ trên da, dễ lan rộng"
Chốc lở,Điều trị,Impetigo contagiosa,Thuốc kháng sinh ngoài da hoặc uống; vệ sinh vùng da kỹ càng
Chốc lở,Nguyên nhân,Impetigo contagiosa,Nhiễm vi khuẩn Staphylococcus aureus hoặc Streptococcus pyogenes qua tiếp xúc
Cơn tăng huyết áp kịch phát (hypertensive crisis),Triệu chứng,Hypertensive Crisis,Huyết áp tăng đột ngột; đau đầu dữ dội; chóng mặt; buồn nôn; thị lực mờ; đau ngực
Cơn tăng huyết áp kịch phát (hypertensive crisis),Điều trị,Hypertensive Crisis,Điều trị cấp cứu bằng thuốc hạ huyết áp đường tĩnh mạch; theo dõi chặt chẽ
Cơn tăng huyết áp kịch phát (hypertensive crisis),Nguyên nhân,Hypertensive Crisis,Ngưng thuốc đột ngột; căng thẳng; bệnh lý mạn tính không kiểm soát
Cường giáp,Triệu chứng,Hyperthyroidism,"Căng thẳng và kích thích;Đánh trống ngực và tim đập nhanh;Run giật chân tay;Sụt cân hoặc tăng cân;Tăng số lần đi cầu hoặc bị tiêu chảy;Phù nề phần thấp ở chân/ bị liệt đột ngột;Khó thở khi gắng sức;Rối loạn giấc ngủ;Thay đổi thị giác: sợ ánh sáng hoặc nhạy cảm với ánh sáng, kích ứng mắt kèm với tăng tiết nước mắt, nhìn đôi, lồi mắt;Mệt mỏi và yếu cơ..."
Cường giáp,Điều trị,Hyperthyroidism,"Thuốc chống giáp (methimazole, propylthiouracil), iodine phóng xạ, phẫu thuật"
Cường giáp,Nguyên nhân,Hyperthyroidism,"Bệnh Graves, đa nang tuyến giáp hoặc viêm tuyến giáp gây tăng sản hormone"
Dao cạo,Triệu chứng,Razor Burn / Irritant Contact Dermatitis,"Da vùng cạo bị đỏ, kích ứng, xuất hiện mụn nhỏ, có cảm giác ngứa rát"
Dao cạo,Điều trị,Razor Burn / Irritant Contact Dermatitis,"Dưỡng ẩm, sử dụng kem dịu nhẹ sau khi cạo, dùng dao cạo sắc bén"
Dao cạo,Nguyên nhân,Razor Burn / Irritant Contact Dermatitis,"Cạo quá sát, dao cạo cùn, ma sát gây tổn thương da"
Dày sừng da dầu,Triệu chứng,Seborrheic Keratosis,"Nốt da sần, màu nâu đến đen, dày và có bề mặt như vảy, thường không đau"
Dày sừng da dầu,Điều trị,Seborrheic Keratosis,"Có thể loại bỏ bằng cryotherapy, cắt, laser nếu gây khó chịu hoặc thẩm mỹ"
Dày sừng da dầu,Nguyên nhân,Seborrheic Keratosis,Tăng sinh tế bào da không ác tính; liên quan đến quá trình lão hóa và di truyền
Dậy thì sớm,Triệu chứng,Precocious Puberty,"Phát triển sớm các đặc điểm giới tính thứ cấp, tăng trưởng nhanh, rối loạn tâm lý"
Dậy thì sớm,Điều trị,Precocious Puberty,Sử dụng GnRH agonists ức chế trục HPG
Dậy thì sớm,Nguyên nhân,Precocious Puberty,"Kích hoạt sớm trục nội tiết, yếu tố di truyền, u não"
Dị dạng tử cung bẩm sinh,Triệu chứng,Congenital Uterine Malformation,"Thường không có triệu chứng rõ ràng, có thể gặp rối loạn kinh nguyệt hoặc vấn đề về sinh sản"
Dị dạng tử cung bẩm sinh,Điều trị,Congenital Uterine Malformation,"Theo dõi, can thiệp phẫu thuật nếu gây rối loạn chức năng sinh sản"
Dị dạng tử cung bẩm sinh,Nguyên nhân,Congenital Uterine Malformation,"Lỗi phát triển của ống Müllerian trong phôi thai, yếu tố di truyền"
HIV/AIDS,Triệu chứng,Human Immunodeficiency Virus infection,"Sụt cân, sốt, mệt mỏi, nhiễm trùng cơ hội, tiêu chảy"
HIV/AIDS,Điều trị,Human Immunodeficiency Virus infection,"Hiện chưa có thuốc điều trị đặc hiệu, tuy nhiên người bệnh sẽ được điều trị bằng thuốc để làm chậm quá trình phát triển của virus HIV."
HIV/AIDS,Nguyên nhân,Human Immunodeficiency Virus infection,"Lây truyền qua máu, đường tình dục, từ mẹ sang con; do virus HIV tấn công hệ miễn dịch"
Herpes sinh dục,Triệu chứng,Herpes Simplex Virus type 2 (HSV-2),"Mụn nước, loét đau ở vùng sinh dục, tái phát theo chu kỳ"
Herpes sinh dục,Điều trị,Herpes Simplex Virus type 2 (HSV-2),"Thuốc kháng virus (acyclovir, valacyclovir) cùng với biện pháp hỗ trợ giảm đau"
Herpes sinh dục,Nguyên nhân,Herpes Simplex Virus type 2 (HSV-2),"Nhiễm HSV qua giao tiếp tình dục, kích hoạt do stress, mệt mỏi hoặc yếu hệ miễn dịch"
Hạ đường huyết nội tiết,Triệu chứng,Endocrine Hypoglycemia,"Đổ mồ hôi, run, đói, nhịp tim nhanh, hoa mắt"
Hạ đường huyết nội tiết,Điều trị,Endocrine Hypoglycemia,Bổ sung đường ngay lập tức; điều chỉnh liều insulin hoặc thuốc điều trị
Hạ đường huyết nội tiết,Nguyên nhân,Endocrine Hypoglycemia,"Quá liều insulin, u insulinoma hoặc rối loạn nội tiết ảnh hưởng đến điều chỉnh đường huyết"
Hẹp van hai lá,Triệu chứng,Mitral Stenosis,Mệt mỏi; khó thở; đau ngực; ho; phù phổi
Hẹp van hai lá,Điều trị,Mitral Stenosis,Thuốc giãn mạch; điều trị nhiễm khuẩn; phẫu thuật sửa van
Hẹp van hai lá,Nguyên nhân,Mitral Stenosis,Viêm thấp khớp; nhiễm khuẩn; bẩm sinh
Hẹp van động mạch chủ,Triệu chứng,Aortic Stenosis,Mệt mỏi; khó thở khi gắng sức; ngất xỉu; đau thắt ngực
Hẹp van động mạch chủ,Điều trị,Aortic Stenosis,Theo dõi; dùng thuốc; can thiệp thay van (valve replacement) khi cần
Hẹp van động mạch chủ,Nguyên nhân,Aortic Stenosis,Tích tụ canxi; thoái hóa van; bẩm sinh
Hẹp/hở van ba lá,Triệu chứng,Tricuspid Valve Disease,Mệt mỏi; phù nề; khó thở; có thể có rối loạn nhịp tim
Hẹp/hở van ba lá,Điều trị,Tricuspid Valve Disease,Dùng thuốc; theo dõi; phẫu thuật thay van nếu cần
Hẹp/hở van ba lá,Nguyên nhân,Tricuspid Valve Disease,Nhiễm khuẩn; thoái hóa; bệnh lý mạn tính
