Question,Name,Intent,Scientific_name,Answer
Bệnh viêm cầu thận gây ra triệu chứng gì và tôi cần làm gì để giảm?,viêm cầu thận,"['Triệu chứng', 'Điều trị']",Glomerulonephritis,"Triệu chứng: Phù là triệu chứng lâm sàng đặc trưng cho bệnh lý cầu thận; Nặng mặt, nề 2 mi mắt, phù 2 chân, phù mềm ấn lõm; Phù thường gặp trong 10 ngày đầu và giảm đi nhanh chóng khí bệnh nhân đái nhiều; Tăng huyết áp kéo dài gây tổn thương đáy mắt, suy tim, tai biến mạch máu não,...; Đái ra máu đại thể trong viêm cầu thận cấp. Điều trị: Nghỉ ngơi; Phù: dùng thuốc theo chỉ định; Tăng huyết áp có thể sử dụng các nhóm thuốc như lợi tiểu quai, chẹn kênh canxi, chẹn beta; Corticoid liệu pháp và các thuốc ức chế miễn dịch trong viêm cầu thận mạn tính"
"Đau ở đau giữa kỳ mãi không hết, tôi phải làm sao?",đau giữa kỳ,['Điều trị'],Mittelschmerz,"Quản lý đau (thuốc giảm đau không kê đơn, liệu pháp nhiệt), kiểm soát sinh sản bằng hormone (nếu nặng hoặc tái phát)"
"Bệnh tăng huyết áp nguyên phát làm tôi khó chịu, có phải dấu hiệu nặng không?",tăng huyết áp nguyên phát (vô căn),['Triệu chứng'],Primary Hypertension,"Thường không có triệu chứng rõ ràng; có thể kèm nhức đầu, chóng mặt"
"Tôi hay bị dao cạo, có phải do công việc của tôi không?",dao cạo,['Nguyên nhân'],Razor Burn / Irritant Contact Dermatitis,"Cạo quá sát, dao cạo cùn, ma sát gây tổn thương da"
"Tôi bị mụn cóc và thấy đau, có thuốc nào tốt không?",mụn cóc,['Điều trị'],Verruca vulgaris (Common Wart),"Điều trị bằng cryotherapy, axit salicylic, laser hoặc cấy ghép nếu cần"
Bệnh não úng thủy do đâu và làm sao để bớt đau?,não úng thủy,"['Nguyên nhân', 'Điều trị']",Hydrocephalus,"Nguyên nhân: Dị tật Arnold-Chiari, Dị tật ống trung não, Hội chứng Dandy-walker, di truyền, nhiễm trùng bào thai, xuất huyết não, nhiễm trùng thần kinh trung ương, u não. Điều trị: Đặt ống dẫn lưu dịch não tủy, phẩu thuật nội soi mở thông não thất thứ 3, dùng thuốc hỗ trợ, Vật lí trị liệu"
Đau ở thiếu máu cục bộ ruột là bệnh gì và do nguyên nhân gì?,thiếu máu cục bộ ruột,"['Triệu chứng', 'Nguyên nhân']",Ischemia of the Bowel,"Triệu chứng: Đau bụng nghiêm trọng, phân có máu, tiêu chảy, buồn nôn, nôn, sốt, nhịp tim nhanh, huyết áp thấp. Nguyên nhân: Tắc nghẽn mạch máu nuôi ruột, thường do huyết khối hoặc thuyên tắc"
"Cơ thể tôi yếu khi bị vảy nến, nên ăn gì để khỏe lại?",vảy nến,['Điều trị'],Psoriasis,"Điều trị tại chỗ (corticosteroid, axit salicylic), thuốc toàn thân (retinoid, thuốc ức chế miễn dịch), quang trị liệu"
"Bệnh rối loạn nhai lại có triệu chứng gì, vì sao bị, và điều trị ra sao?",rối loạn nhai lại,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Rumination Disorder,"Triệu chứng: Nôn trớ và nhai lại thức ăn lặp đi lặp lại. Điều trị: Liệu pháp hành vi (như kỹ thuật thở cơ hoành), phản hồi sinh học, giải quyết các tình trạng tâm lý hoặc y tế cơ bản, điều chỉnh chế độ ăn. Nguyên nhân: Rối loạn tâm lý, căng thẳng, hoặc bất thường tiêu hóa"
Làm sao để tôi bớt đau khi bị u mí mắt?,u mí mắt,['Điều trị'],Chalazion,"Chườm ấm (để làm mềm và thúc đẩy dẫn lưu tuyến dầu bị tắc), massage nhẹ vùng bị ảnh hưởng, vệ sinh mí mắt (giữ vùng sạch sẽ), thuốc nhỏ mắt bôi trơn không kê đơn, thuốc mỡ kháng sinh tại chỗ (nếu có nguy cơ nhiễm trùng), tiêm corticosteroid (đối với u mí lớn hoặc kéo dài), dẫn lưu hoặc cắt bỏ phẫu thuật (trong trường hợp hiếm hoặc nếu điều trị bảo tồn không hiệu quả)"
Bị túi thừa đại tràng thì có cách nào bớt khó chịu không?,túi thừa đại tràng,['Điều trị'],Diverticulosis,"Chế độ ăn giàu chất xơ, thuốc (giảm đau, kháng sinh)"
"Tôi bị đau ở tăng huyết áp thứ phát, đó là dấu hiệu gì và vì sao?",tăng huyết áp thứ phát (do lý khác gây ra),"['Triệu chứng', 'Nguyên nhân']",Secondary Hypertension,"Triệu chứng: Triệu chứng tương tự tăng huyết áp (đau đầu, mệt mỏi); có thể đi kèm các triệu chứng của bệnh nền. Nguyên nhân: Bệnh thận; rối loạn nội tiết (cường aldosteron, pheochromocytoma); các bệnh mạch vành"
"Tôi thấy khó chịu ở tăng áp lực nội nhãn, phải làm sao để hết?",tăng áp lực nội nhãn,['Điều trị'],Ocular Hypertension,"Theo dõi bằng khám mắt định kỳ, sử dụng thuốc nhỏ mắt để giảm áp lực nội nhãn (nếu cần)"
Bị amyloid thì có cách nào bớt khó chịu không?,amyloid,['Điều trị'],Amyloidosis,Điều trị phụ thuộc vào loại và mức độ tổn thương cơ quan
"Tôi thấy khó chịu ở phình động mạch chủ ngực, phải làm sao để hết?",phình động mạch chủ ngực,['Điều trị'],Thoracic Aortic Aneurysm,"Theo dõi thường xuyên và xét nghiệm hình ảnh để đánh giá kích thước và sự phát triển của phình, thay đổi lối sống (như kiểm soát huyết áp, tránh hút thuốc, quản lý cholesterol), thuốc (như thuốc chẹn beta, chất ức chế ACE) để kiểm soát huyết áp và giảm nguy cơ vỡ, can thiệp phẫu thuật"
Bị đau thắt ngực không ổn định thì có triệu chứng gì và nguyên nhân là gì?,đau thắt ngực không ổn định,"['Triệu chứng', 'Nguyên nhân']",Unstable Angina,"Triệu chứng: Đau ngực mới, gia tăng cường độ hoặc tần suất, không giảm khi nghỉ ngơi, kèm khó thở. Nguyên nhân: Thay đổi cấu trúc mảng bám; hình thành cục máu đông trong động mạch vành"
"Khi bị dị dạng tử cung bẩm sinh, tôi thấy gì, do đâu, và nên làm gì để giảm triệu chứng?",dị dạng tử cung bẩm sinh,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Congenital Uterine Malformation,"Triệu chứng: Thường không có triệu chứng rõ ràng, có thể gặp rối loạn kinh nguyệt hoặc vấn đề về sinh sản. Điều trị: Theo dõi, can thiệp phẫu thuật nếu gây rối loạn chức năng sinh sản. Nguyên nhân: Lỗi phát triển của ống Müllerian trong phôi thai, yếu tố di truyền"
Bệnh viêm xương chũm biểu hiện ra sao và có cách nào điều trị không?,viêm xương chũm,"['Triệu chứng', 'Điều trị']",Mastoiditis,"Triệu chứng: Đau tai (đặc biệt phía sau tai), sưng và đỏ ở tai hoặc vùng phía sau tai, sốt, đau đầu, mất thính lực hoặc giảm thính lực, chảy dịch hoặc mủ từ tai, đau tai, cáu kỉnh (ở trẻ sơ sinh và trẻ nhỏ), nhạy cảm hoặc đau khi chạm vào vùng, xương chũm nhô ra hoặc sưng. Điều trị: Kháng sinh (uống hoặc tiêm tĩnh mạch) để điều trị nhiễm khuẩn cơ bản, thuốc giảm đau (như acetaminophen hoặc ibuprofen) để giảm đau và sốt, thuốc nhỏ tai (nếu có dịch chảy từ tai), can thiệp phẫu thuật (trong trường hợp nặng hoặc mãn tính), như cắt xương chũm (loại bỏ tế bào xương chũm bị nhiễm) hoặc đặt ống thông nhĩ (để giảm áp lực và dẫn lưu dịch từ tai giữa), chăm sóc hỗ trợ (nghỉ ngơi, uống đủ nước, chườm ấm)"
Tôi bị viêm da do ánh nắng vì sao mà cứ tái phát?,viêm da do ánh nắng,['Nguyên nhân'],Dermatitis due to Sun Exposure,Tiếp xúc với tia UV gây kích ứng da
Đau ở tấn công thiếu máu cục bộ thoáng qua là bệnh gì và do nguyên nhân gì?,tấn công thiếu máu cục bộ thoáng qua,"['Triệu chứng', 'Nguyên nhân']",Transient ischemic attack,"Triệu chứng: Khởi phát đột ngột các triệu chứng thần kinh biến mất trong vòng 24 giờ. Nguyên nhân: Tắc nghẽn tạm thời dòng máu lên não, thường do cục máu đông"
"Bệnh ăn uống vô độ làm tôi mệt, có cách nào phục hồi không?",ăn uống vô độ,['Điều trị'],Bulimia Nervosa,"Tâm lý trị liệu (như liệu pháp hành vi nhận thức hoặc liệu pháp hành vi biện chứng), tư vấn dinh dưỡng, thuốc (trong một số trường hợp), nhóm hỗ trợ"
"Tôi bị tổn thương thận do thuốc, dấu hiệu là gì, nguyên nhân từ đâu, và có cách chữa không?",tổn thương thận do thuốc,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Drug-induced kidney injury,"Triệu chứng: Tổn thương mạch mạng ở các chi dưới hoặc sự đổi màu xanh của các ngón chân, Chức năng thận suy giảm kéo dài và ngày càng xấu, Tăng bạch cầu ái toan máu hoặc niệu và nồng độ bổ thể C3 thấp, Mệt mỏi, phù, giảm tiểu, tăng creatinine. Điều trị: Ngưng thuốc độc thận, hỗ trợ chức năng thận, lọc máu nếu cần. Nguyên nhân: Tuổi cao,Bệnh thận mãn tính có sẵn, Đái tháo đường, Suy tim, Đau tủy xương, Suy gan"
Bệnh sỏi ống wharton do đâu và làm sao để bớt đau?,sỏi ống wharton,"['Nguyên nhân', 'Điều trị']",Wharton's duct stones,"Nguyên nhân: Tắc nghẽn ống Wharton do khoáng chất hoặc viêm. Điều trị: Uống đủ nước, kích thích tiết nước bọt, loại bỏ sỏi"
Bị viêm dây thần kinh thị giác thì có phải do lối sống không?,viêm dây thần kinh thị giác,['Nguyên nhân'],Optic Neuritis,"Viêm dây thần kinh thị giác, thường do tự miễn"
"Cơ thể tôi yếu khi bị tổn thương tủy sống, chuyện gì thế?",tổn thương tủy sống,['Triệu chứng'],Spinal cord injury,"Đau nhức liên tục, Huyết áp lên xuống, Mất kiểm soát trong vệ sinh cá nhân, Yếu hoặc liệt nhóm cơ, Mất cảm giác, Tê bì chân tay, Thân nhiệt trồi sụt thất thường"
"Bệnh tăng canxi máu làm tôi mệt mỏi, đó là bình thường không?",tăng canxi máu,['Triệu chứng'],Hypercalcemia,"Mệt mỏi, buồn nôn, khát nước quá mức, sỏi thận"
Làm sao để tôi bớt đau khi bị sốt tinh hồng nhiệt?,sốt tinh hồng nhiệt,['Điều trị'],Scarlet Fever,"Kháng sinh (như penicillin hoặc erythromycin), nghỉ ngơi, uống đủ nước, giảm triệu chứng"
"Tôi bị đau do tăng huyết áp do thai nghén, đó là bệnh gì, vì sao, và chữa thế nào?",tăng huyết áp do thai nghén,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Pregnancy-Induced Hypertension,"Triệu chứng: Huyết áp cao trong thai kỳ. Điều trị: Theo dõi huyết áp, thay đổi lối sống (như hạn chế muối, tập thể dục đều đặn), thuốc (như thuốc hạ huyết áp) nếu cần, theo dõi chặt chẽ bởi nhân viên y tế. Nguyên nhân: Thay đổi tuần hoàn và nội tiết trong thai kỳ"
"Đau ở wilson mãi không hết, do đâu vậy?",wilson,['Nguyên nhân'],Wilson Disease,Tích tụ đồng do rối loạn di truyền
"Tôi bị đau lưng vì rung nhĩ, nên làm gì bây giờ?",rung nhĩ,['Điều trị'],Atrial Fibrillation,"Thuốc chống đông; điều chỉnh nhịp tim (beta-blockers, calcium channel blockers); ablation nếu cần"
"Tôi bị đau do nhiễm nấm cryptococcus, đó là bệnh gì và chữa ra sao?",nhiễm nấm cryptococcus,"['Triệu chứng', 'Điều trị']",Cryptococcosis,"Triệu chứng: Đau đầu, sốt, mệt mỏi, ho, viêm màng não, viêm phổi. Điều trị: Thuốc chống nấm (ví dụ: Amphotericin B, Fluconazole), chăm sóc hỗ trợ"
"Cơ thể tôi yếu khi bị ngộ độc thuốc an thần, nên ăn gì để khỏe lại?",ngộ độc thuốc an thần,['Điều trị'],Sedatives Poisoning,"Chăm sóc y tế khẩn cấp, chăm sóc hỗ trợ, sử dụng thuốc giải độc"
"Đau ở dại mãi không hết, tôi phải làm sao?",dại,['Điều trị'],Rabies,"Chăm sóc y tế khẩn cấp (phòng ngừa sau phơi nhiễm), chăm sóc vết thương, tiêm vắc-xin dại và globulin miễn dịch, chăm sóc hỗ trợ, theo dõi và quản lý triệu chứng"
Bệnh viêm khớp dạng thấp vị thành niên do nguyên nhân gì và tôi có thể điều trị thế nào?,viêm khớp dạng thấp vị thành niên,"['Nguyên nhân', 'Điều trị']",Juvenile Rheumatoid Arthritis,"Nguyên nhân: Rối loạn tự miễn ảnh hưởng đến trẻ em. Điều trị: Thuốc (NSAIDs, DMARDs), vật lý trị liệu, liệu pháp nghề nghiệp, tập thể dục, thiết bị hỗ trợ"
"Tôi muốn giảm triệu chứng của đau sau phẫu thuật, nên làm gì?",đau sau phẫu thuật,['Điều trị'],Pain after an Operation,"Thuốc giảm đau, chườm đá, nghỉ ngơi, chăm sóc vết thương"
Đau ở thoái hóa điểm vàng là bệnh gì và có cách nào giảm không?,thoái hóa điểm vàng,"['Triệu chứng', 'Điều trị']",Macular Degeneration,"Triệu chứng: Tầm nhìn trung tâm mờ hoặc méo mó, điểm mù. Điều trị: Thiết bị hỗ trợ thị lực, thuốc (tiêm vào mắt), liệu pháp laser, liệu pháp quang động, can thiệp phẫu thuật"
"Bệnh viêm vùng chậu có dấu hiệu gì, nguyên nhân là gì, và làm sao để chữa?",viêm vùng chậu,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Pelvic Inflammatory Disease (PID),"Triệu chứng: Đau vùng chậu, sốt, tiết dịch âm đạo bất thường, đau khi quan hệ. Điều trị: Điều trị kháng sinh theo phác đồ, nghỉ ngơi, hỗ trợ giảm đau. Nguyên nhân: Nhiễm trùng từ đường sinh dục (chlamydia, gonorrhea) lan lên tử cung và các cơ quan lân cận"
Bệnh hội chứng suy giảm chức năng phổi do covid-19 có liên quan đến tuổi già không?,hội chứng suy giảm chức năng phổi do covid-19,['Nguyên nhân'],COVID-19 Pulmonary Dysfunction Syndrome,Nhiễm SARS-CoV-2
"Bệnh bướu giáp đơn thuần biểu hiện thế nào, do nguyên nhân gì, và có phương pháp điều trị nào?",bướu giáp đơn thuần,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Simple (Diffuse) Goiter,"Triệu chứng: Sưng cổ, cảm giác nặng ở vùng cổ, có thể gặp khó nuốt hoặc thở. Điều trị: Bổ sung iod, theo dõi lâm sàng, phẫu thuật nếu cần. Nguyên nhân: Thiếu iodine kéo dài, rối loạn nội tiết tuyến giáp"
"Khi bị vàng da sơ sinh, tôi sẽ thấy gì và do đâu mà có?",vàng da sơ sinh,"['Triệu chứng', 'Nguyên nhân']",Neonatal Jaundice,"Triệu chứng: Vàng da và mắt, phân nhạt, nước tiểu sẫm. Nguyên nhân: Tăng bilirubin do chức năng gan chưa trưởng thành ở trẻ sơ sinh"
"Tôi bị tắc mạch phổi, có triệu chứng gì và nên làm gì để bớt đau?",tắc mạch phổi,"['Triệu chứng', 'Điều trị']",Pulmonary embolism,"Triệu chứng: Khó thở, chóng mặt; Đau ngực: cảm thấy đau khi hít thở sâu, dấu hiệu của bệnh thuyên giảm tắc phổi; Ho ra máu: kèm với cả dịch nhầy. Điều trị: Dùng thuốc làm loãng máu, Phẫu thuật cho những trường hợp cục huyết khối to và tình trạng bệnh nhân nguy kịch"
"Tôi bị chấy rận, triệu chứng là gì và chữa thế nào?",chấy rận,"['Triệu chứng', 'Điều trị']",Lice,"Triệu chứng: Ngứa và sự hiện diện rõ ràng của chấy hoặc trứng (chấy cái) trong tóc. Điều trị: Thuốc không kê đơn hoặc theo toa được thiết kế đặc biệt để tiêu diệt chấy (như thuốc diệt chấy), loại bỏ chấy và trứng bằng lược răng mịn, giặt và sấy quần áo, chăn ga bị nhiễm ở nhiệt độ cao, hút bụi đồ đạc và bề mặt nhà, khử trùng các vật dụng cá nhân không thể giặt hoặc sấy, tránh tiếp xúc trực tiếp đầu với người bị nhiễm, chiến lược giáo dục và phòng ngừa"
"Tôi bị sỏi tuyến nước bọt và thấy mệt, do nguyên nhân gì?",sỏi tuyến nước bọt,['Nguyên nhân'],Sialolithiasis,Tích tụ khoáng chất trong ống dẫn nước bọt
"Tôi bị đau do thận hình móng ngựa, đó là bệnh gì, vì sao, và chữa thế nào?",thận hình móng ngựa,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Horseshoe-shaped kidneys,"Triệu chứng: Nhiễm trùng đường tiết niệu; Sỏi thận: Đau sườn, Bồn chồn, Đổ mồ hôi, Buồn nôn và nôn, Máu trong nước tiểu, Thay đổi tần suất đi tiểu, Ớn lạnh. Điều trị: Kháng sinh để điều trị nhiễm trùng cơ bản, Can thiệp phẫu thuật với sỏi thận có triệu chứng, Nếu bị thận ứ nước, bác sĩ sẽ thảo luận về một số lựa chọn điều trị không phẫu thuật hoặc phẫu thuật khác. Nguyên nhân: Yếu tố di truyền: thận móng ngựa đôi khi liên quan đến một số hội chứng di truyền như: Trisomy 18, hội chứng Turner,...; Các yếu tố môi trường; Gián đoạn quá trình"
Bị hạ cam mềm thì người ta hay cảm thấy thế nào?,hạ cam mềm,['Triệu chứng'],Chancroid,"Loét hoặc vết loét đau ở vùng sinh dục, sưng hạch bạch huyết ở bẹn"
Bị suy thận thì có gì bất thường không?,suy thận,['Triệu chứng'],Kidney Failure,"Giảm lượng nước tiểu, giữ nước, mệt mỏi, khó thở, buồn nôn, lú lẫn, đau ngực, co giật"
"Tôi bị peyronie, có triệu chứng gì và vì lý do gì?",peyronie,"['Triệu chứng', 'Nguyên nhân']",Peyronie Disease,"Triệu chứng: Cong dương vật, đau khi cương cứng. Nguyên nhân: Hình thành mô sẹo trong dương vật"
"Khi bị rối loạn lưỡng cực, tôi thấy gì, do đâu, và nên làm gì để giảm triệu chứng?",rối loạn lưỡng cực,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Bipolar Disorder,"Triệu chứng: Dao động tâm trạng, giai đoạn hưng cảm, giai đoạn trầm cảm. Điều trị: Thuốc (ổn định tâm trạng, chống loạn thần), liệu pháp. Nguyên nhân: Rối loạn tâm thần do di truyền hoặc mất cân bằng hóa học trong não"
"Tôi bị nhịp nhanh trên thất, tôi muốn biết tại sao",nhịp nhanh trên thất,['Nguyên nhân'],Supraventricular Tachycardia (SVT),Rối loạn dẫn truyền điện trong tâm nhĩ; kích thích ngoại lai
"Đau ở thai ngoài tử cung mãi không hết, do đâu vậy?",thai ngoài tử cung,['Nguyên nhân'],Ectopic Pregnancy,"Thai làm tổ ngoài tử cung, thường do tổn thương ống dẫn trứng"
Bị ứ mật thai kỳ thì người ta hay cảm thấy thế nào?,ứ mật thai kỳ,['Triệu chứng'],Gestational Cholestasis,"Ngứa da, đặc biệt ở bàn tay và bàn chân"
"Tôi bị sỏi ống mật chủ, cảm thấy thế nào, do đâu, và nên làm gì để khỏe?",sỏi ống mật chủ,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Choledocholithiasis,"Triệu chứng: Đau bụng (thường ở phần tư trên bên phải), vàng da, nước tiểu sẫm, phân nhạt, buồn nôn, nôn, nội soi mật tụy ngược dòng (ERCP) với loại bỏ sỏi, cắt cơ vòng, cắt túi mật. Điều trị: Các lựa chọn không phẫu thuật: Thuốc kiểm soát đau và khó chịu, kháng sinh. Nguyên nhân: Sỏi mật di chuyển từ túi mật vào ống mật chủ"
"Tôi bị viêm gan b, nên làm gì để mau khỏe lại?",viêm gan b,['Điều trị'],Hepatitis B Virus infection,"Điều trị bằng kháng virus (tenofovir, entecavir), theo dõi chức năng gan, hỗ trợ điều trị"
"Bị ung thư tuyến giáp dạng nang mà đau hoài, đó là bình thường không?",ung thư tuyến giáp dạng nang,['Triệu chứng'],Adenoid cystic carcinoma,"Khối u, sưng, tê mặt, ngứa ran"
Bệnh mụn thịt biểu hiện ra sao và có cách nào điều trị không?,mụn thịt,"['Triệu chứng', 'Điều trị']",Acrochordon (Skin Tag),"Triệu chứng: Các nốt da nhỏ, mềm, nhám bề mặt, thường xuất hiện ở cổ, nách, háng; không đau nhưng có thể bị kích ứng do ma sát. Điều trị: Loại bỏ bằng cryotherapy, cắt bỏ bằng dao mổ hoặc laser nếu gây phiền toái"
"Tôi bị giãn tĩnh mạch thực quản, nên làm gì để mau khỏe lại?",giãn tĩnh mạch thực quản,['Điều trị'],Esophageal Varices,"Thuốc (thuốc chẹn beta, thuốc co mạch), liệu pháp nội soi, buộc dây, shunt cổng gan qua tĩnh mạch cảnh trong (TIPS), can thiệp phẫu thuật"
"Bệnh hội chứng ngưng thở khi ngủ biểu hiện thế nào, do nguyên nhân gì, và có phương pháp điều trị nào?",hội chứng ngưng thở khi ngủ,"['Triệu chứng', 'Điều trị', 'Nguyên nhân']",Sleep Apnea,"Triệu chứng: Ngưng thở khi ngủ do tắc nghẽn: Ngủ ngày quá nhiều, Ngáy to thường được ngắt quãng, nhức đầu vào buổi sáng có thể kéo dài, khô miệng khi thức dậy, tiểu đêm, giảm tập trung; Ngưng thở khi ngủ trung ương: kiểu thở bất thường, ngủ ngày quá nhiều, thức giấc vào ban đêm, khó thở đột ngột, khó tập trung. Điều trị: Ngưng thở khi ngủ do tắc nghẽn: dùng liệu pháp PAP, áp suất đường thở dương hai cấp độ (BiPAP) và áp suất dương tự động chuẩn độ (APAP), sử dụng một số dụng cụ cố định hàm hoặc lưỡi, Phẫu thuật; Ngưng thở khi ngủ do trung ương: sử dụng thiết bị hỗ trợ ngừng thở khi ngủ để thúc đẩy hơi thở ổn định hơn khi ngủ. Nguyên nhân: Ngưng thở khi ngủ do tắc nghẽn: do thiếu oxy; Ngưng thở khi ngủ trung ương: vấn đề về cách não giao tiếp, bị CSA, thân não không nhận biết đúng mức carbon dioxide"
"Khi bị da khô, tôi sẽ nhận thấy thay đổi gì?",da khô,['Triệu chứng'],Dry Skin,"Da khô, bong tróc kèm ngứa"
"Khi bị thuyên tắc mỡ, tôi sẽ nhận thấy thay đổi gì?",thuyên tắc mỡ,['Triệu chứng'],Fat Embolism,"Khó thở, đau ngực, lú lẫn, phát ban chấm xuất huyết (đốm đỏ hoặc tím nhỏ), triệu chứng thần kinh"
"Cơ thể tôi lạ lắm khi bị viêm tai giữa cấp, chuyện gì đang xảy ra?",viêm tai giữa cấp,['Triệu chứng'],Acute Otitis Media,"Đau tai, sốt, chảy dịch từ tai, giảm thính lực hoặc âm thanh bị bít ở tai bị ảnh hưởng"
"Tôi bị động kinh, tôi muốn biết tại sao, những cách điều trị của bệnh.",động kinh,"['Nguyên nhân', 'Điều trị']",Epileptic,"Nguyên nhân: Di truyền, Chấn thương sọ não, Tai biến mạch máu não, Khối u não, Nhiễm trùng hệ thần kinh, Rối loạn phát triển não, Căng thẳng, Thiếu ngủ, Sử dụng chất kích thích. Điều trị: Sử dụng thuốc Carbamazepine, thuốc Valproate, thuốc Ethosuximide, Phẩu thuật, Dùng thiết bị kích thích dây thần kinh phế vị, Chế độ ăn Ketogenic "
"Bệnh hội chứng thận hư làm tôi mệt, tại sao vậy?",hội chứng thận hư,['Nguyên nhân'],Nephrotic syndrome,Bệnh cầu thận sang thương tối thiểu (Minimal change disease – MCD); Bệnh xơ hóa cầu thận khu trú từng đoạn (Focal segmental glomerulosclerosis – FSGS); Bệnh màng thận (Membranous nephropathy – MN)
"Tôi bị nấm tóc, cảm thấy thế nào và nên làm gì để khỏe?",nấm tóc,"['Triệu chứng', 'Điều trị']",Tinea capitis,"Triệu chứng: Da đầu ngứa, đỏ, bong tróc, kèm rụng tóc tại vùng nhiễm. Điều trị: Thuốc chống nấm dạng uống (griseofulvin, terbinafine) và chăm sóc vệ sinh"
Bệnh đột quỵ có dấu hiệu nào đặc biệt và có thuốc gì giúp không?,đột quỵ,"['Triệu chứng', 'Điều trị']",Cerebrovascular Accident,"Triệu chứng: Đột ngột yếu một bên cơ thể, khó nói, méo mặt, đau đầu dữ dội. Điều trị: đột quỵ thiếu máu dùng thuốc tiêu huyết khối (rtPA) trong giờ vàng, chống kết tập tiểu cầu (aspirin, clopidogrel), kiểm soát huyết áp, phẫu thuật nếu xuất huyết; phục hồi chức năng sau đột quỵ;"
